lema,definisi_kamus,definisi_tambahan,jumlah_makna,kunci,jumlah_kunci,kunci_asal
Ningali,"Kata kerja dalam ragam ""Krama Inggil"" bahasa Jawa yang berarti *melihat* atau *menyaksikan* sesuatu; setara dengan kata `ndelok` (Ngoko) atau `ningali` sebagai bentuk penghormatan tertinggi kepada lawan bicara yang lebih tua atau lebih dihormati.",,1,melihat | menyaksikan | memandang | menonton,4,mesin
Njero,"Kata keterangan yang menunjukkan posisi atau lokasi di bagian ""dalam"" suatu ruang, benda, atau area tertutup. Kata ini berfungsi untuk menyatakan keberadaan sesuatu yang tidak tampak dari luar atau tertutup oleh batas fisik.",,1,di dalam | bagian dalam | sebelah dalam,3,mesin
Nrimo,"Merupakan falsafah Jawa legendaris yang berarti menerima keadaan atau nasib dengan ikhlas dan pasrah, tanpa mengeluh atau melawan",,1,menerima | pasrah | ikhlas | menerima nasib,4,mesin
Nyambut,"Melakukan tindakan ""meminjam"" barang atau uang dari orang lain, atau dalam konteks tertentu berarti melakukan suatu pekerjaan.",,1,meminjam | pinjam | bekerja,3,mesin
Nyandhak,"Tindakan ""mencapai"" sebuah titik, menyentuh, atau memegang suatu objek secara fisik maupun metaforis. Bisa juga diartikan memegang sesuatu.",,1,mencapai | meraih | memegang | menyentuh | menangkap,5,penutur
Og,"Og adalah partikel informal dalam bahasa Jawa yang berfungsi sebagai penekanan atau penguatan dalam kalimat, serupa dengan 'kok' dalam bahasa Indonesia.",,1,kok | penekanan | penguatan | penegasan,4,mesin
Padha,"Kata bantu aspektual dalam bahasa Jawa yang berfungsi sebagai penanda bahwa subjek jamak sedang melakukan suatu tindakan *secara bersama-sama* atau dalam waktu yang bersamaan. ""Padha"" memperkuat makna kolektif dari tindakan yang dilakukan oleh lebih dari satu pelaku.","Kata sifat yang menyatakan keadaan sama, serupa, atau tidak berbeda antara dua hal atau lebih; lazim dipakai dalam bentuk ""padha karo"" yang sepadan dengan ""sama dengan"" dalam bahasa Indonesia. | Penanda jamak yang diletakkan di depan kata kerja untuk menunjukkan bahwa seluruh pelaku melakukan tindakan tersebut, tanpa mengharuskan tindakan itu berlangsung serentak. Dalam bahasa Indonesia arti ini sepadan dengan ""semua"".",3,bersama-sama | sama-sama | serentak | berbarengan | sama | serupa | semua,7,mesin
Pancen,"Adverbia penegasan dalam bahasa Jawa Ngoko yang bermakna *sungguh*, *memang*, atau *sudah dari sananya*, digunakan untuk menegaskan kebenaran, kenyataan, atau kondisi yang tidak perlu dipertanyakan lagi.",,1,memang | sungguh | benar-benar | sudah dari sananya,4,mesin
Panggah,"Adverbia dalam ragam *ngoko* bahasa Jawa yang bermakna ""tetap"" atau ""masih"" dalam kondisi tertentu, digunakan untuk menegaskan bahwa suatu keadaan, sifat, atau peristiwa bertahan atau bahkan menguat meskipun ada faktor yang berpotensi mengubahnya.",,1,tetap | masih | bertahan | tidak berubah,4,mesin
Panjenengan,Pronomina persona kedua tunggal yang digunakan untuk merujuk pada `orang kedua` dengan tingkat *hormat* atau formalitas tinggi dalam konteja berbahasa Jawa.,,1,anda | kamu | engkau | orang kedua hormat,4,mesin
Pedhot,"Kondisi terputus atau tidak tersambung, biasanya merujuk pada suatu hubungan, koneksi, atau keadaan yang tidak lagi utuh",,1,putus | terputus | patah | tidak tersambung,4,mesin
Pewe,"Pewe adalah *kata sifat* atau *ungkapan* informal yang mendeskripsikan ""posisi tubuh yang sangat nyaman"" atau kondisi santai. Istilah ini merujuk pada situasi di mana seseorang merasa betah, rileks, dan tidak ingin mengubah posisi saat beristirahat atau melakukan aktivitas tertentu.","Akronim dari ""posisi wenak"" dalam bahasa Jawa, yaitu posisi yang enak atau nyaman; kepanjangan inilah asal-usul istilah tersebut dalam ragam percakapan sehari-hari.",2,nyaman | santai | betah | rileks | posisi enak | posisi wenak,6,mesin
Pindho,"Keterangan jumlah frekuensi yang menyatakan ""dua kali"" atau kelipatan kedua dalam urutan kejadian.",,1,dua kali | kedua kali | kelipatan kedua | kedua,4,penutur
Pirantos,"Kata benda dalam ragam `Krama` bahasa Jawa yang merujuk pada ""alat"" atau ""peralatan""; yaitu benda yang digunakan sebagai sarana atau instrumen untuk melaksanakan suatu pekerjaan atau kegiatan tertentu. Merupakan padanan *halus* dari bentuk Ngoko `piranti`.",,1,alat | peralatan | perkakas | sarana,4,mesin
Pitakon,"Kata ""pitakon"" dalam bahasa Jawa merujuk pada ""pertanyaan"" atau proses bertanya dengan nuansa halus dan sopan dalam komunikasi antarwarga Jawa.",,1,pertanyaan | soal | tanya,3,mesin
Piyambak,"Kata ini merujuk pada kondisi ""sendirian"" atau ""tidak bersama orang lain"", seringkali digunakan dalam konteks bahasa Jawa untuk menunjukkan tindakan yang dilakukan secara individu.","Bentuk krama dari ""dhewe"" yang menyatakan kepemilikan pribadi, yakni sesuatu yang menjadi milik sendiri dan bukan milik orang lain.",2,sendirian | sendiri | seorang diri | milik sendiri,4,mesin
Purun,"Kata ""purun"" merupakan bentuk ""krama"" dalam bahasa Jawa yang berarti bersedia, mau, atau berkenan melakukan sesuatu.",,1,mau | bersedia | berkenan | sudi,4,mesin
Reksa,"Kata kerja dalam bahasa Jawa yang berarti *menjaga*, melindungi, atau memelihara sesuatu dengan penuh tanggung jawab. Bentuk aktifnya adalah `ngreksa`, yang digunakan untuk menyatakan tindakan menjaga atau merawat secara langsung.",,1,menjaga | melindungi | memelihara | merawat,4,mesin
Rene,"Kata penunjuk arah dalam bahasa Jawa Ngoko yang bermakna *""ke sini""*, digunakan untuk memerintah atau mengajak seseorang agar berpindah menuju lokasi pembicara.",,1,ke sini | kemari | mendekat,3,mesin
Riyoyo,"Istilah dalam bahasa Jawa yang merujuk pada perayaan ""Idul Fitri"", yaitu hari raya umat Islam yang jatuh pada tanggal 1 Syawal setelah selesainya bulan puasa Ramadan. Kata ini digunakan secara luas di wilayah Jawa Tengah dan Jawa Timur sebagai padanan kosakata lokal untuk menyebut momen `lebaran`.",,1,idul fitri | lebaran | hari raya,3,mesin
Rontek,"Jenis ""bendera kecil"" atau panji-panji yang dipasang pada sebilah bambu atau kayu, biasanya digunakan untuk dekorasi jalan atau acara adat. Dalam konteks kiasan, istilah ini merujuk pada sesuatu yang tampak mencolok secara visual namun kurang memiliki landasan atau ""substansi"" yang kuat.",,1,bendera kecil | panji-panji | umbul-umbul | mencolok | bendera | panji,6,mesin
Sae,"Kata sifat dalam bahasa Jawa yang bermakna *bagus*, indah, atau baik dalam kualitas maupun penampilan. Digunakan untuk memuji atau mendeskripsikan sesuatu yang memiliki nilai estetika atau kualitas yang tinggi.",,1,bagus | baik | indah,3,mesin
Saged,"Kata kerja yang menyatakan ""kemampuan"" atau ""kesanggupan"" untuk melakukan sesuatu atau menandakan adanya ""kemungkinan"" dalam tingkatan bahasa Jawa Krama.",,1,bisa | mampu | dapat | sanggup,4,mesin
Sagedipun,"Bentuk nomina turunan dalam bahasa Jawa ragam `Krama Inggil`, dibentuk dari kata dasar `saged` (mampu, bisa) dengan penambahan sufiks posesif `-ipun` (milik dia/nya); bermakna *'kemampuannya'* atau *'kepandaiannya'*, merujuk pada kapasitas atau kecakapan seseorang yang diacu dalam konteks hormat.",,1,kemampuannya | kepandaiannya | kecakapannya | kemampuan | kesanggupannya | mampu | semampunya,7,mesin
Sampun,"Partikel ""sudah"" dalam bahasa Jawa yang merupakan bentuk krama (halus) dari ""wis"" dalam dialek Jawa, menandakan selesainya suatu tindakan atau peristiwa.","Partikel larangan dalam bahasa Jawa ragam krama, bentuk halus dari ""aja"" dalam ngoko, dipakai di depan verba untuk melarang atau mencegah lawan bicara melakukan sesuatu, seperti pada ""sampun kuwatir"" (jangan khawatir).",2,sudah | telah | selesai | jangan,4,mesin
Sanadyan,"Kata penghubung yang berfungsi untuk menyatakan perlawanan atau pengecualian, memiliki arti yang sama dengan ""meskipun"" atau ""walaupun"".",,1,meskipun | walaupun | kendati | sekalipun,4,mesin
Seje,"Adjektiva yang merujuk pada kondisi *berbeda* atau *tidak sama* antara satu hal dengan hal lainnya. Kata ini digunakan untuk menekankan adanya kontras, kelainan, atau diskrepansi pada wujud, sifat, maupun rasa suatu objek dalam konteks perbandingan.",,1,berbeda | tidak sama | lain | beda,4,mesin
Senep,"Keadaan yang membosankan, monoton, atau menimbulkan rasa jenuh; dapat juga merujuk pada sesuatu yang berbau tidak sedap atau tidak menyenangkan tergantung konteks situasi.","Keadaan perut yang terasa tidak enak, sebah, atau nyeri melilit sehingga menimbulkan rasa mulas; lazim dipakai untuk mengeluhkan gangguan pencernaan ringan.",2,membosankan | monoton | jenuh | tidak sedap | sakit perut | mulas | sebah | perut tidak enak,8,mesin
Sewelas,"Bilangan bulat yang bernilai *sebelas* dalam bahasa Jawa, merupakan bentuk leksikon numeralia Jawa yang digunakan dalam percakapan sehari-hari, khususnya dalam ragam `ngoko`.",,1,sebelas,1,mesin
Sitok,Singkatan dari frasa Jawa 'Siji tok' yang bermakna 'satu saja' atau 'hanya satu'. Digunakan untuk menyatakan kuantitas minimal atau penekanan pada kesederhanaan pilihan.,,1,satu saja | hanya satu | satu,3,mesin
Songo,"Angka atau bilangan *sembilan* dalam bahasa Jawa, merupakan bentuk ""ngoko"" dari kata bilangan pokok yang digunakan secara luas dalam percakapan sehari-hari masyarakat Jawa.",,1,sembilan,1,mesin
sopo,"Kata tanya untuk menanyakan identitas atau nama seseorang, versi santai dari 'siapa'.",,1,siapa,1,mesin
Stel kendo,"Istilah Jawa yang berarti bersikap santai, tidak terburu-buru, atau melonggarkan ketegangan dalam menghadapi suatu situasi.",,1,santai | tidak terburu-buru | longgar | rileks | melonggarkan | mengendurkan,6,penutur
Sugeng,"Kata pembuka atau salam yang digunakan untuk menyatakan harapan akan ""keselamatan"" atau ""kesejahteraan"" dalam konteks waktu atau peristiwa tertentu.",,1,selamat | sejahtera | keselamatan,3,mesin
Sumelang,"Perasaan was-was, gelisah, atau tidak tenang karena memikirkan sesuatu yang buruk. Istilah ini menggambarkan kecemasan yang mendalam dan terus-menerus, sering kali tanpa alasan jelas, dan sering muncul dalam konteks emosional atau psikologis.",,1,khawatir | cemas | gelisah | was-was,4,mesin
Sundel,"Berakar dari istilah dalam mitologi seperti sundel bolong (figur hantu perempuan dalam cerita rakyat Jawa). Karena asosiasinya sangat negatif, kata ini termasuk kategori kata makian atau umpatan ekstrem jika diarahkan pada seseorang atau suatu keadaan.","Sebutan kasar bagi perempuan yang melacurkan diri atau dianggap tidak menjaga kehormatan; padanan harfiahnya dalam bahasa Indonesia adalah ""sundal"" atau ""perempuan tunasusila"".",2,sundal | pelacur | perempuan tunasusila | wanita tunasusila | hantu perempuan,5,mesin
Surup,"Kondisi ""waktu"" menjelang malam ketika matahari hampir terbenam di ufuk barat, menandai berakhirnya siang dan menjelang malam.",,1,senja | petang | matahari terbenam | magrib,4,mesin
Syawalan,"Tradisi budaya masyarakat Jawa yang dirayakan pada hari ketujuh setelah Hari Raya Idul Fitri, dikenal juga sebagai ""Lebaran Ketupat"", ditandai dengan acara silaturahmi, saling memaafkan, dan penyajian ketupat sebagai hidangan khas.",,1,lebaran ketupat | silaturahmi | tradisi lebaran | halalbihalal | maaf-maafan | memaafkan,6,penutur
Tali goci,"Simpul atau rangkaian tali yang menghubungkan rangka layang-layang dengan benang penarik untuk mengatur keseimbangan dan sudut terbang. Istilah ini merujuk pada ""tali kendali"" utama yang menentukan stabilitas objek saat berada di udara.",,1,tali kendali | tali layang-layang | simpul layang-layang,3,mesin
Tengen,"Tengen adalah posisi atau arah yang mengacu pada sisi kanan dari suatu objek atau ""perspektif"" tertentu. Ini merupakan lawan dari ""kiwa"" atau kiri, sangat penting untuk menunjukkan orientasi relatif. Secara umum, ini mengacu pada arah di mana sebagian besar manusia memegang dominasi tangan.",,1,kanan | sisi kanan | sebelah kanan,3,mesin
Tiwas,Kondisi yang menggambarkan sesuatu yang telah *terlanjur* terjadi atau dilakukan sehingga menjadi sia-sia; merujuk pada penyesalan atas tindakan yang sudah tidak dapat diubah.,"Keadaan kehilangan nyawa; dipakai untuk menyatakan bahwa seseorang mati atau tewas, umumnya karena kecelakaan, bencana, atau peristiwa yang tidak diinginkan. | Keadaan tertimpa kemalangan atau kecelakaan yang mendatangkan kerugian dan bahaya bagi seseorang.",3,terlanjur | sia-sia | percuma | tewas | meninggal | celaka | mati | binasa,8,penutur
Tresna,"Perasaan *cinta* atau kasih sayang yang mendalam, tulus, dan penuh pengabdian terhadap seseorang maupun sesuatu. Dalam bahasa Jawa, kata ini mencerminkan keterikatan emosional yang suci dan melampaui sekadar ketertarikan fisik, sering kali dikaitkan dengan ketulusan hati yang murni.",,1,cinta | kasih sayang | sayang | kasih,4,mesin
Tumbas,"Kata kerja dalam bahasa Jawa yang berarti *membeli*, yaitu tindakan memperoleh barang atau jasa dengan memberikan sejumlah uang sebagai alat tukar. Kata ini termasuk dalam register ""krama"" sehingga digunakan dalam situasi yang memerlukan kesopanan atau penghormatan kepada lawan bicara.",,1,membeli | beli | berbelanja,3,mesin
Tur,"Konjungsi koordinatif dalam bahasa Jawa yang bermakna *""dan""* atau *""juga""*, digunakan untuk menghubungkan dua klausa atau frasa yang menunjukkan penambahan informasi atau peristiwa yang terjadi secara bersamaan maupun berurutan.",,1,dan | juga | serta | bahkan,4,mesin
Unjung-unjung,"Tradisi kunjungan silaturahmi yang dilakukan pada masa ""Lebaran"" atau Idul Fitri, khususnya dengan mendatangi rumah sanak saudara, tetangga, dan orang yang dihormati untuk saling memaafkan dan mempererat hubungan kekeluargaan. Istilah ini *khas* digunakan di wilayah Jawa Tengah dan sebagian Jawa Timur.",,1,silaturahmi | berkunjung | bertamu | kunjungan lebaran | mengunjungi,5,penutur
Urug,"Proses ""menimbun"" atau ""mengisi"" tanah atau material lain untuk meratakan, meninggikan, atau membentuk permukaan lahan.",,1,menimbun | timbunan | mengisi | meratakan tanah,4,mesin
Wadon,"Kata dalam bahasa Jawa yang merujuk pada *perempuan* atau individu berjenis kelamin ""wanita""; digunakan secara luas dalam ragam Ngoko maupun percakapan sehari-hari masyarakat Jawa.",,1,perempuan | wanita,2,mesin
Wedhi,"Nomina dalam dialek `Jawa` yang merujuk pada material butiran halus berupa ""pasir"", umumnya ditemukan di tepi sungai, pantai, atau area tanah berpasir. Kata ini berbeda secara fonetis dan semantis dari `wedi` yang berarti takut.",,1,pasir,1,mesin
Wo,"Kata sapaan informal dalam bahasa Jawa yang digunakan untuk menyebut atau memanggil lawan bicara, setara dengan panggilan akrab antar teman sebaya. Kata ini *populer* digunakan oleh para ""content creator"" berbahasa Jawa, khususnya dari wilayah Jawa Tengah, Jawa Timur, dan Yogyakarta, sebagai identitas kultural yang khas dan bernuansa humoris.","Bentuk pendek dari ""uwa"" atau ""uwak"", yaitu sebutan dan sapaan bagi kakak dari ayah atau ibu, sejajar dengan pakdhe dan budhe; dipakai pula untuk menyapa orang yang lebih tua yang dihormati.",2,bro | panggilan akrab | kawan | sob | uwa | uwak,6,mesin
Yen,"Kata penghubung dalam bahasa Jawa yang menyatakan *syarat atau pengandaian*, setara dengan ""kalau"" atau ""jika"" dalam bahasa Indonesia.",,1,kalau | jika | apabila | seandainya,4,mesin
